iter	MultiClass
0	1.388862706
1	1.236120261
2	1.104088361
3	1.002531253
4	0.9222542458
5	0.8458416329
6	0.7803268785
7	0.7320248885
8	0.682736499
9	0.6405939434
10	0.600825846
11	0.5672634414
12	0.5329319672
13	0.5062331663
14	0.481208556
15	0.4600445146
16	0.4372154649
17	0.4227452715
18	0.4054456178
19	0.3904074483
20	0.3692705077
21	0.3550558517
22	0.3376415388
23	0.3240012014
24	0.3080959651
25	0.2959040368
26	0.2847548181
27	0.2727537632
28	0.2596744656
29	0.2486974996
30	0.238123684
31	0.2286536386
32	0.2197972826
33	0.2120945014
34	0.2061964816
35	0.1988282553
36	0.1924402176
37	0.1867947335
38	0.1815233815
39	0.1763041269
40	0.1714392094
41	0.1657995823
42	0.1611881291
43	0.1559508128
44	0.1511204447
45	0.146144597
46	0.141550184
47	0.1373691821
48	0.1340041013
49	0.1309595534
50	0.1282121079
51	0.1252222395
52	0.1225400875
53	0.1203102017
54	0.1170744799
55	0.1139896236
56	0.111469381
57	0.1088802597
58	0.1061665308
59	0.1038243331
60	0.1011846353
61	0.09894961053
62	0.09707188339
63	0.09493443917
64	0.09277092243
65	0.09132649552
66	0.08966421791
67	0.08782898881
68	0.08638921523
69	0.08463953623
70	0.08311377465
71	0.08182209855
72	0.08023683532
73	0.07902943042
74	0.07779308558
75	0.07585860351
76	0.0745140123
77	0.0730848272
78	0.07190905875
79	0.07042727636
80	0.06929399688
81	0.06778431175
82	0.06667501028
83	0.06545978221
84	0.06434622161
85	0.06307978963
86	0.06230367481
87	0.06110874493
88	0.06031511933
89	0.05951349802
90	0.05851338941
91	0.05779935028
92	0.0569869992
93	0.05600782268
94	0.05502809224
95	0.05440114797
96	0.05377029804
97	0.05294187429
98	0.05223687129
99	0.05161617401
100	0.05097950019
101	0.05038238798
102	0.04975819223
103	0.04913151164
104	0.04860295148
105	0.04806171359
106	0.04751847179
107	0.04696369494
108	0.04641153378
109	0.04590510948
110	0.04537546054
111	0.0449215956
112	0.04444245839
113	0.04401404654
114	0.04345197403
115	0.04298890057
116	0.04249762288
117	0.04209148909
118	0.04167517031
119	0.04127548121
120	0.04085961051
121	0.04051530699
122	0.04015111871
123	0.03979587494
124	0.03937401106
125	0.03894302363
126	0.03862173733
127	0.03830089904
128	0.03777550977
129	0.0373953588
130	0.03697398054
131	0.03657021085
132	0.03620543044
133	0.03581089469
134	0.03547542544
135	0.03507923887
136	0.03481446458
137	0.0344717753
138	0.0341994871
139	0.03387685092
140	0.03361744212
141	0.03334009364
142	0.03307179787
143	0.03279862721
144	0.03236654248
145	0.03211529146
146	0.03183329679
147	0.03156195442
148	0.03126302801
149	0.03096897836
150	0.03072858739
151	0.03055363745
152	0.03036884087
153	0.03011612586
154	0.02987645906
155	0.02959666108
156	0.02938600468
157	0.02915739668
158	0.02885740196
159	0.02855443059
160	0.02832718623
161	0.02812822777
162	0.02790725586
163	0.02770410398
164	0.02739282285
165	0.02723045863
166	0.02701750824
167	0.02678782838
168	0.02659294657
169	0.02633977083
170	0.02613105928
171	0.02592128799
172	0.02575666007
173	0.02559212823
174	0.02544178979
175	0.02523615759
176	0.02506046052
177	0.02486000939
178	0.02473309967
179	0.0246162639
180	0.02445031991
181	0.02423757315
182	0.02405970976
183	0.02389656758
184	0.02370063753
185	0.02349578554
186	0.02332597329
187	0.0231954996
188	0.02305078342
189	0.02290173002
190	0.02273616297
191	0.02258415944
192	0.02247425861
193	0.02230624654
194	0.02218558301
195	0.02202334064
196	0.02189548624
197	0.02173782644
198	0.02156923302
199	0.02146478788
